Name,TotalPE,ChrPE,ChrMPE,ChrCPE,Dup%Chr,Dup%ChrM,Dup%ChrC,NoDupTotalPE,NoDup%Chr,NoDup%ChrM,NoDup%ChrC,RmDup%Chr,RmDup%ChrM,RmDup%ChrC
wt_a4_4h_1,48763430,16.0107,3.18435,80.8049,9.9374,17.1744,72.4621,17380978,36.6828,6.70952,56.6077,90.0626,82.8256,27.5379
wt_a4_4h_2,51988698,14.5217,2.95402,82.5242,22.7988,26.534,73.5734,15895875,31.8588,6.16718,61.974,77.2012,73.466,26.4266
wt_kv_4h_1,38481516,13.6828,3.60811,82.709,9.9163,16.0138,69.1999,14285109,30.1881,7.42165,62.3903,90.0837,83.9862,30.8001
wt_kv_4h_2,44163555,14.7247,2.73693,82.5383,20.7495,24.3929,70.9489,14327693,30.9395,5.48642,63.5741,79.2505,75.6071,29.0511
wt_mk_4h_1,39892807,11.7784,3.74025,84.4813,10.2264,17.0307,70.7784,14868565,27.5621,8.089,64.3489,89.7736,82.9693,29.2216
wt_mk_4h_2,34961586,13.4657,3.42814,83.1061,16.3524,20.6989,68.3572,13529810,27.9641,6.74924,65.2867,83.6476,79.3011,31.6428
wt_un_1,35218781,14.7745,3.61161,81.6139,9.8712,15.8745,68.5203,14271435,31.6701,7.22606,61.1039,90.1288,84.1255,31.4797
wt_un_2,37960314,20.9095,3.86688,75.2237,26.0536,29.0127,69.343,14890569,37.4666,6.6516,55.8818,73.9464,70.9873,30.657
setikv_e2_1,71255918,23.2289,3.84472,72.9264,21.1047,28.2003,76.7726,25638194,48.1947,7.25952,44.5458,78.8953,71.7997,23.2274
setikv_e2_2,62756969,15.959,3.91743,80.1235,20.8644,27.825,77.3146,20617236,37.5503,8.40664,54.0431,79.1356,72.175,22.6854
setikv_mk_1,79608740,28.6972,3.8028,67.5,39.9131,42.1939,80.2228,25189719,52.5852,6.70378,40.7111,60.0869,57.8061,19.7772
setikv_mk_2,73083187,15.2908,3.98447,80.7248,29.921,34.9765,79.6622,20787439,36.0502,8.71628,55.2335,70.079,65.0235,20.3378
setikv_un_1,60192015,18.509,3.90025,77.5907,25.9908,31.1812,76.9067,19856303,39.9361,7.82521,52.2387,74.0092,68.8188,23.0933
setikv_un_2,62342883,16.6667,3.90143,79.4318,25.508,30.4783,77.0257,19634034,37.1978,8.12646,54.6757,74.492,69.5217,22.9743
setiwt_e2_1,40506513,19.375,3.87463,76.7504,24.3033,27.4072,71.2882,14632474,37.1152,7.118,55.7668,75.6967,72.5928,28.7118
setiwt_e2_2,51130606,16.3717,3.89077,79.7375,22.3046,27.6547,74.8564,17619047,35.7468,7.91032,56.3429,77.6954,72.3453,25.1436
setiwt_e2_3,44579728,18.5219,3.59557,77.8826,12.6614,18.8995,71.2345,18028022,38.9838,7.02722,53.989,87.3386,81.1005,28.7655
setiwt_mk_1,43163268,21.8897,3.96758,74.1427,27.0741,29.8543,72.4172,15592836,40.7257,7.10026,52.174,72.9259,70.1457,27.5828
setiwt_mk_2,49449962,14.9357,3.87283,81.1915,26.6669,30.6919,74.9423,16041594,32.2315,7.89892,59.8696,73.3331,69.3081,25.0577
setiwt_mk_3,46480919,17.0006,3.60024,79.3992,13.0608,19.5381,72.0686,18098240,37.0855,7.26853,55.646,86.9392,80.4619,27.9314
setiwt_un_1,42624311,21.9583,4.21913,73.8226,17.2982,21.2906,67.375,14508975,39.8546,7.2881,52.8573,82.7018,78.7094,32.625
setiwt_un_2,53319380,16.8706,3.96858,79.1609,19.9039,25.7029,74.2954,18653742,36.71,8.01033,55.2797,80.0961,74.2971,25.7046
setiwt_un_3,47267669,17.0103,3.74523,79.2445,10.9642,18.3855,72.1123,18534524,37.58,7.58449,54.8355,89.0358,81.6145,27.8877
